z1,z2,z3,z4,z5,z6,z7,z8,z9
0.04500000178813934,0.04479999989271164,0.04455555520123906,0.04346153885126114,0.04211764716926743,0.04014285751396701,0.03820000015199185,0.0368275860774106,0.0365454548913421
0.04699999839067459,0.04720000103116036,0.046888888710074954,0.045923076856594816,0.04411764727795825,0.04176190513230506,0.03912000007927418,0.0373103448414597,0.036575757870168396
0.04800000041723251,0.048600000143051145,0.04866666719317436,0.04769230748598392,0.04582352936267853,0.04304761936267217,0.04016000010073185,0.03779310373396709,0.0367878790041714
0.04800000041723251,0.04920000061392784,0.04955555539992121,0.048846154258801386,0.04699999970548293,0.04414285719394684,0.041080000400543215,0.03848275882673675,0.037242424420335075
0.04800000041723251,0.048600000143051145,0.049777778486410774,0.04923076899005817,0.04764705874464091,0.045000000191586356,0.04192000016570091,0.039310345105056106,0.037939393892884254
0.04600000008940697,0.04800000041723251,0.04900000078810586,0.04899999986474331,0.04776470560361357,0.045428571779103505,0.04280000001192093,0.040206896590775455,0.03857575763355602
0.04500000178813934,0.046400000154972074,0.04788888949486944,0.04807692307692308,0.04741176480756087,0.04566666643534388,0.04336000010371208,0.04100000010482196,0.039333333120201576
0.0430000014603138,0.0448000006377697,0.04622222234805425,0.04684615393097584,0.04676470598753761,0.045476190391040984,0.04363999977707863,0.04158620703323134,0.04003030287496971
0.04100000113248825,0.04280000030994415,0.04444444469279713,0.045538461552216455,0.0457647059331922,0.04495238087006977,0.04363999992609024,0.04193103429058503,0.04045454536875089
0.039000000804662704,0.040799999982118605,0.042777777959903084,0.04407692299439357,0.04458823537125307,0.0442380951274009,0.04335999995470047,0.0418965517189996,0.04063636335459622
0.03700000047683716,0.03919999971985817,0.0412222221493721,0.042538461490319326,0.043470588238800276,0.043333333340429124,0.042839999794960025,0.04158620716168963,0.0404848482346896
0.035999998450279236,0.03799999952316284,0.03977777767512533,0.04123076911155994,0.04235294110634748,0.04238095223194077,0.04208000019192695,0.04106896563336767,0.039969696747985756
0.035999998450279236,0.037199999392032626,0.03866666638188892,0.04015384614467621,0.041294117403381014,0.04142857130084719,0.04120000019669533,0.040241379419277454,0.03930303008493149
0.035999998450279236,0.03679999932646751,0.03811111094223128,0.03930769172998575,0.040352941435926104,0.0404285712256318,0.04027999997138977,0.03927586227655411,0.03839393925260414
0.035999998450279236,0.036800000071525577,0.03788888785574171,0.038846153479356035,0.03947058824055335,0.039476190471933,0.03928000003099442,0.03827586217687048,0.03745454527211912
0.03700000047683716,0.037199999392032626,0.03788888826966286,0.03846153788841688,0.0388823526308817,0.03852380954083942,0.03820000022649765,0.03727586207718685,0.0366969695032546
0.03799999877810478,0.0380000002682209,0.03811111052831014,0.03823076847654123,0.03823529359172372,0.037714285864716486,0.037119999974966046,0.03641379335574035,0.036090908854296715
0.039000000804662704,0.03879999965429306,0.03844444412324163,0.03815384524372908,0.03758823499083519,0.03685714268968219,0.03636000007390976,0.03568965524178127,0.035818181593309746
0.03999999910593033,0.039400000125169754,0.03877777730425199,0.037999999637787156,0.03705882281064987,0.03614285712440809,0.03571999981999397,0.035413792999140145,0.03593939384727767
0.03999999910593033,0.039799999445676804,0.03888888946837849,0.03784615288560207,0.03664705836597611,0.03566666639276913,0.03535999983549118,0.03555172405623157,0.036575757531505645
0.03999999910593033,0.03959999978542328,0.03877777771817313,0.037615384333408795,0.03641176377149189,0.035523809315193264,0.03551999986171722,0.03610344841305552,0.037424242293292824
0.039000000804662704,0.038999999314546584,0.03844444453716278,0.03738461463497235,0.036411763990626615,0.03585714279186158,0.036200000047683714,0.03700000002723316,0.035166666532556214
